facname,lat,lon
Henry St. Settlement Sro,40.72117,-73.979855
Crooke Avenue,40.653189,-73.962403
Jasmine Court,40.804393,-73.911079
Kowal,40.799231,-73.961325
Davidson Av.,40.848182,-73.912846
Delta,40.824535,-73.945266
Schermerhorn House,40.689257,-73.987426
Immaculata Hall Sro,40.703395,-73.805317
W. 140th St.,40.817888,-73.94058
Dekalb Avenue,40.692569,-73.939434
Hill House,40.846487,-73.915862
Hughes Gardens,40.848226,-73.89129
St. Mary's/Prosp Pl,40.672775,-73.9258
Claremont,40.838504,-73.910269
El Cemi,40.797665,-73.937677
Stella,40.832722,-73.94508
Richard Salyer House,40.838778,-73.940943
575 5th Ave,40.665022,-73.98945
Capital Hall,40.787924,-73.97401
St. Francis IIi,40.741747,-74.0007
Cecil,40.804646,-73.952413
Muhlenburg Res.,40.685327,-73.981406
Franklin Avenue,40.833253,-73.901129
"Jhb HSng. Inc., Sro Res.",40.831445,-73.899371
Westbourne,40.801171,-73.968396
Archie's Place,40.821196,-73.900153
Senate,40.79162,-73.973078
Rio,40.836045,-73.944414
Domenech,40.673698,-73.917815
Huntersmoon  Hall,40.796166,-73.970177
Clyde Burton House,40.721622,-73.979141
Westchester,40.818784,-73.902814
Kenmore,40.739505,-73.984019
North Core Studios,40.673097,-73.886204
Warren Street,40.682063,-73.982167
Schafer Hall,40.800454,-73.941434
715 Henry St.  Sro,40.676575,-74.002832
Haven,40.800593,-73.935917
E. Tremont,40.847283,-73.898212
Corner House,40.82114,-73.945247
St. Joseph's,40.680243,-73.967108
Morris  Manor,40.640039,-73.954868
Peter J. Sharp Residence,40.798314,-73.938202
Abraham Plaza,40.843823,-73.892125
James Bryant Homes,40.80802,-73.93875
Union,40.818543,-73.903335
Heights,40.846367,-73.933395
St. Francis I,40.740534,-73.984576
Louis Nine House,40.831425,-73.892617
Mercy Gardens,40.691642,-73.961501
Our Lady Of Good Councel,40.687429,-73.925235
Honeywell Residence,40.842575,-73.883602
Palace Sro,40.725094,-73.991733
Euclid,40.788135,-73.977199
W. 35th St.,40.754802,-73.99811
Georgia's Place,40.674751,-73.953842
West End Intergenerational,40.787177,-73.979439
Columbia,40.686156,-74.001883
Rose House,40.796342,-73.973137
Jericho Residence I,40.847812,-73.903372
Abraham Apartments,40.841723,-73.892892
D'Addario Residence,40.691649,-73.944034
Community House,40.668541,-73.984372
Wazobia House,40.690163,-73.944059
Ave. D Sro,40.723624,-73.976321
W. Harlem Brownstones,40.806609,-73.952151
Bergen Street Sro,40.682722,-73.980771
Dorothy Mcgowan Houses,40.834351,-73.942188
Gouverneur Court,40.711094,-73.983593
Truxton Sro,40.678443,-73.908827
St. Louis Hall (Rustin HSe),40.794643,-73.975255
Ncs Residence,40.775523,-73.955603
Commonwealth Vets Res.,40.828705,-73.867297
Rugged Cross,40.692318,-73.928218
Mother Gaston,40.678654,-73.907797
W. Harlem Brownstones,40.807157,-73.948523
Vincent P. Cyrus Plaza,40.807434,-73.938224
Most Holy Trinity,40.707047,-73.943421
W. 42nd St.,40.759489,-73.995876
Encore 49,40.760904,-73.985336
W. Harlem Brownstones,40.807751,-73.942891
Grand Avenue Studios,40.864995,-73.901347
Casa Mutua,40.789728,-73.947709
29 East 2nd Street,40.724935,-73.990774
St. Francis II,40.743266,-73.995211
772 E. 168th St.,40.82897,-73.90071
Los Vecinos,40.718861,-73.982534
Navy Green (Aka Brig),40.696567,-73.97078
Revella,40.804869,-73.95582
Christopher Residence,40.744836,-73.995865
W. 30th St,40.750719,-73.99731
E. 12th Street Residence,40.730587,-73.984305
Woodstock,40.756278,-73.984872
Rev. James Polite,40.824091,-73.898681
Jericho House,40.8061,-73.950046
219 Henry St. Sro,40.713864,-73.986559
Gema Hall,40.806468,-73.94395
Camba Gardens,40.657248,-73.940048
Abraham Residence I,40.576531,-74.008547
Sheridan Hill House,40.838887,-73.912638
Anna  Gonzalez Apts,40.69587,-73.932747
Mt. Eden Avenue Sro,40.844561,-73.91636
Hegeman,40.656017,-73.910829
College Ave. Apts,40.827543,-73.915652
W. Harlem Brownstones,40.806951,-73.948047
Bishop Joseph M Sullivan,40.661709,-73.951902
Webster,40.828946,-73.91189
Dorothy Day,40.821188,-73.956933
W. Harlem Brownstones,40.807881,-73.944113
Harmony Court,40.835856,-73.912848
Albany House,40.676518,-73.938918
Chelsea Court,40.739606,-73.995765
Columba Hall,40.799177,-73.938346
Ilene R. Smith,40.847355,-73.919193
Bronx Park East,40.86092,-73.870214
Dorothy Mcgowan Houses,40.835086,-73.943063
St. John's House,40.830321,-73.907165
Brook Ave Residence,40.814604,-73.915642
Washington Avenue,40.829295,-73.907733
Lee,40.720484,-73.981738
W. 53rd St.,40.767403,-73.993061
Hunterfly Trace,40.673048,-73.91999
Camba Gardens,40.656514,-73.940009
Abraham Residence II,40.574991,-74.00571
Casa Renacer,40.802134,-73.938614
Community Union Sro,40.816642,-73.903672
St. John's  II,40.828495,-73.913538
Loring Place Residence,40.854748,-73.914126
Coalition Houses,40.781407,-73.978775
West Tremont Residence,40.850562,-73.912688
Dorothy Mcgowan Houses,40.834947,-73.942733
St. Nicholas House,40.82197,-73.945423
Times Square Hotel,40.757874,-73.988675
Prince George Sro,40.744,-73.986572
Dewitt Ave Sro,40.65637,-73.896479
E. 119th St. Vets Res.,40.802028,-73.944243
Geffner Holland House,40.75839,-73.991802
Harry Simmons Res.,40.822908,-73.949038
Praxis White Plains Road,40.896829,-73.855886
Ega Hall,40.823874,-73.9498
Greenhope,40.797511,-73.933448
Jericho Residence II,40.847637,-73.903428
Lesc Franklin Sro,40.832802,-73.901589
W. 46th St.,40.759797,-73.988279
Edgecombe,40.827096,-73.941697
